SEXO,EDAD,NIVEL_EDUCATIVO,ETNIA,TUVO_TRABAJO,TIPO_TRABAJADOR,BUSCA_OTRO_TRABAJO,NIVEL_OCUPACION,REGISTRO_SUNAT,TAMANO_EMPRESA,QUIERE_MAS_HORAS,LIBROS_CONTABLES,FRECUENCIA_PAGO,INGRESO_PRINCIPAL,LIMIT_MOVIMIENTO,LIMIT_VISION,LIMIT_COMUNICACION,LIMIT_AUDICION,LIMIT_APRENDIZAJE,LIMIT_RELACION,SEGURO_SALUD,DIAS_AUSENTE
2,25,11,6,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,13749.0,2,2,2,2,2,2,3,2.0
2,28,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,13499.0,2,2,2,2,2,2,3,2.0
1,62,12,7,1,3.0,2.0,1,1.0,4.0,1.0,,4.0,13489.0,2,2,2,2,2,2,3,2.0
2,36,11,7,1,3.0,2.0,1,,5.0,1.0,,4.0,13090.0,2,2,2,2,2,2,1,2.0
2,46,9,7,1,2.0,2.0,1,1.0,1.0,2.0,,,13000.0,2,2,2,2,2,2,3,2.0
2,60,8,7,1,1.0,2.0,1,1.0,1.0,2.0,,,13000.0,2,2,2,2,2,2,1,2.0
1,47,12,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,13000.0,2,2,2,2,2,2,2,2.0
1,67,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,13000.0,2,2,2,2,2,2,3,2.0
1,35,12,7,1,3.0,2.0,1,,5.0,1.0,,4.0,13000.0,2,2,2,2,2,2,1,2.0
2,59,12,4,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,12876.0,2,2,2,2,2,2,3,2.0
1,59,12,9,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,12666.0,2,2,2,2,2,2,1,2.0
1,59,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,12499.0,2,2,2,2,2,2,4,2.0
2,68,6,7,1,3.0,2.0,1,,5.0,2.0,,4.0,12499.0,2,2,2,2,2,2,3,2.0
2,46,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,12499.0,2,2,2,2,2,2,3,2.0
1,54,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,12499.0,2,2,2,2,2,2,1,2.0
2,38,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,12075.0,2,2,2,2,2,2,1,2.0
1,70,12,7,1,3.0,2.0,1,,5.0,1.0,,4.0,12050.0,2,2,2,2,2,2,1,2.0
1,49,12,7,1,3.0,1.0,1,,5.0,2.0,,4.0,12050.0,2,2,2,2,2,1,1,2.0
1,58,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,12050.0,2,2,2,2,2,2,1,2.0
1,51,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,11876.0,2,2,2,2,2,2,3,2.0
1,47,12,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,11749.0,2,2,2,2,2,2,3,2.0
1,37,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,11650.0,2,2,2,2,2,2,4,2.0
1,50,9,7,1,2.0,2.0,1,2.0,1.0,2.0,2.0,,11258.0,2,2,2,2,2,2,5,2.0
1,52,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,11250.0,2,2,2,2,2,2,3,2.0
2,27,11,6,1,3.0,2.0,1,,5.0,2.0,,4.0,11250.0,2,2,2,2,2,2,1,2.0
1,42,12,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,11199.0,2,2,2,2,2,2,1,2.0
1,39,11,7,2,3.0,2.0,1,1.0,5.0,2.0,,4.0,11100.0,2,2,2,2,2,2,3,2.0
2,35,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,11050.0,2,2,2,2,2,2,3,2.0
1,52,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,11032.0,2,2,2,2,2,2,3,2.0
1,48,12,7,1,2.0,2.0,1,1.0,1.0,2.0,,,11000.0,2,2,2,2,2,2,3,2.0
1,34,11,7,1,3.0,1.0,1,1.0,5.0,2.0,,4.0,10716.0,2,2,2,2,2,2,3,2.0
2,40,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,10624.0,2,2,2,2,2,2,3,2.0
1,65,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,10624.0,2,2,2,2,2,2,1,2.0
1,34,11,7,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,10332.0,2,2,2,2,2,2,3,2.0
1,36,11,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,10142.0,2,2,2,2,2,2,3,2.0
1,44,11,1,1,3.0,2.0,1,,5.0,2.0,,4.0,10083.0,2,2,2,2,2,2,1,2.0
1,36,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,10050.0,2,2,2,2,2,2,3,2.0
1,47,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,10042.0,2,2,2,2,2,2,1,2.0
1,57,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,10026.0,2,2,2,2,2,2,1,2.0
1,40,12,7,1,3.0,2.0,1,1.0,5.0,2.0,,4.0,10001.0,2,2,2,2,2,2,3,2.0
2,45,12,6,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,10001.0,2,2,2,2,2,2,3,2.0
1,70,11,7,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,10001.0,2,2,2,2,2,2,1,2.0
2,62,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,10001.0,2,2,2,2,2,2,1,2.0
2,53,11,6,1,3.0,2.0,1,1.0,4.0,2.0,,4.0,10001.0,2,2,2,2,2,2,1,2.0
1,30,12,7,1,3.0,2.0,1,1.0,5.0,1.0,,4.0,10001.0,2,2,2,2,2,2,3,2.0
1,61,12,9,1,3.0,2.0,1,1.0,3.0,2.0,,4.0,10000.0,2,2,2,2,2,2,3,2.0
1,24,11,7,1,3.0,2.0,1,1.0,5.0,1.0,,4.0,10000.0,2,2,2,2,2,2,3,2.0
1,68,11,7,1,1.0,2.0,1,1.0,1.0,2.0,,,10000.0,2,2,2,2,2,2,1,2.0
1,70,11,7,1,1.0,2.0,1,1.0,1.0,2.0,,,10000.0,2,2,2,2,2,2,1,2.0
1,42,11,6,1,1.0,2.0,1,1.0,1.0,2.0,,,10000.0,2,2,2,2,2,2,3,2.0
1,31,11,7,1,3.0,1.0,1,1.0,3.0,2.0,,4.0,10000.0,2,2,2,2,2,2,2,2.0
1,59,11,7,1,1.0,2.0,1,1.0,1.0,2.0,,,10000.0,2,2,2,2,2,2,5,2.0
1,66,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,10000.0,2,2,2,2,2,2,1,2.0
1,55,9,7,1,1.0,2.0,1,1.0,1.0,2.0,,,10000.0,2,2,2,2,2,2,5,2.0
2,43,12,7,1,3.0,2.0,1,,5.0,2.0,,4.0,9949.0,2,2,2,2,2,2,3,2.0
1,42,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,9916.0,2,2,2,2,2,2,1,2.0
1,64,11,7,1,3.0,2.0,1,1.0,1.0,2.0,,4.0,9916.0,2,2,2,2,2,2,1,2.0
2,68,11,7,1,3.0,2.0,1,,5.0,2.0,,4.0,9850.0,2,2,2,2,2,2,1,2.0
1,41,11,7,1,3.0,2.0,1,1.0,2.0,2.0,,4.0,9667.0,2,2,2,2,2,2,2,2.0
