ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C300n,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_mam25
2025,05,2574301,1,0092,1,1,20250225743011009212,1,2,2,1,2, ,2,46,2,10,11,1978,1, , , , , , , , , , , , , , ,2, ,2341,8521,3,5,1, ,4,180,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,4,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,2500, , , , , , , ,520,2500,2500,3020,1,1435.14872441063
2025,05,1946402,1,0019,1,1,20240519464021001911,1,1,1,1,2, ,1,39,1,30,9,1985,1, , , , , , , , , , , , , , ,1, ,7231,4520,3,5,2,2,1,10,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,2600, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,2600, , , , , , , ,416,2600,2600,3016,1,1155.32283884978
2025,03,28823,1,0104,1,1,202312288231010412,1,2,2,1,2, ,2,52,2,30,10,1972,1, , , , , , , , , , , , , , ,2, ,5212,4761,1, ,2,2,1,3,0,8,8,8,8,8,8,48,25,73,1, ,2, ,2,2, , , , , , , ,300, , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , ,2714, , ,300, , , ,3014,2714,3014,1,1786.22507682902
2025,04,1796101,1,0043,1,1,20240117961011004311,1,1,1,1,2, ,2,33,1,20,11,1991,1, , , , , , , , , , , , , , ,1, ,3314,5610,1, ,2,1,1,5,12,12,12,12,0,12,12,72, ,72,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , ,1504,1500, , , , , ,3004,3004,3004,1,499.661528068457
2025,04,1827001,1,0021,1,1,20240118270011002111,1,1,1,1,2, ,1,39,1,2,4,1986,1, , , , , , , , , , , , , , ,1, ,8332,4923,3,5,1, ,1,10,0,7,7,7,7,7,7,42, ,42,1, ,2, ,2,2,4,2000,480, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,2000,804, , , , , , ,200,2804,2804,3004,1,649.240091501646
2025,04,25222,1,0119,1,1,202501252221011912,1,2,2,1,2, ,1,58,1,24,4,1967,1, , , , , , , , , , , , , , ,2, ,5213,4781,2, ,2,2,1,2,6,12,12,12,12,12,12,78, ,78,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,2401,600, , , , , ,3001,3001,3001,1,1212.60534549627
2025,05,2541801,1,0041,1,1,20250525418011004111,1,1,1,1,2, ,1,59,2,5,9,1965,1, , , , , , , , , , , , , , ,1, ,5211,4669,3,5,1, ,2,50,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,2500, , , , , , , ,501,2500,2500,3001,1,981.914036628088
2025,05,1798601,1,0114,1,1,20240517986011011411,1,1,1,1,2, ,1,56,1,28,7,1968,1, , , , , , , , , , , , , , ,1, ,9629,1812,3,5,1, ,2,30,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,2500, , , , , , , ,501,2500,2500,3001,1,450.768532472711
2025,03,21027,1,0043,1,1,202412210271004311,1,1,1,1,2, ,1,52,1,10,9,1972,1, , , , , , , , , , , , , , ,1, ,2141,7110,3,5,1, ,1,2,6,6,6,6,6,6,6,42, ,42,1, ,1,1,1,2,4,3000, , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , , ,3000,3000,3000,1,1372.84378047791
2025,03,18570,1,0121,1,1,202503185701012111,1,1,1,1,2, ,1,58,1,26,5,1966,1, , , , , , , , , , , , , , ,1, ,4321,8610,3,5,1, ,5,600,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,3000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,3000, , , , , , , , ,3000,3000,3000,1,497.42013072775
